,episode_idx,round,topic,message,response,knowledge,gold
0,0,3,Gardening,"Wow, it sounds amazing, the Micro-pigs are so cute! are they trainable to be well behaved?",yes they are very well behaved . they are also useful for our immediate environment .,"In the gradual process of families improving their immediate environment, useful tree and vine species were identified, protected and improved while undesirable species were eliminated.",yes they are. they are extremely smart. most people buy them for inside pets. you can train the to use a litter box just like a cat. When families started using vines and trees to build their houses out of there was several species of trees and vines that were eliminated by them.
1,1,3,Bob Ross,it ran for a long time,he became famous on youtube in the 20th century .,"Ross went from being a public-television personality in the 1980s and 1990s to being an Internet celebrity in the 21st century, popular with fans on YouTube and many other websites.",He is very popular on YouTube even into this century
2,2,2,Stamp collecting,"My grandfather was very into it. I seen a Nirvana stamp and had to have it, but that is the extent of my addiction",stamp collecting was proven to be a perfect hobby because each country wanted it to be,Stamp collecting proved to be an almost perfect hobby for collectors because there was a never ending stream of new stamps as each country sought to advertise its distinctiveness through its stamps.,its proved to be a almost perfect hobby for collectors because there is a never ending stream of new stamps
3,2,3,Stamp collecting,Do you do this too? I want to get started but nervous I won't get it down. I would love to have a hobby like my grandfather did,yes i do stamp collecting because it is accepted as a wider subject,"Stamp collecting is generally accepted as one of the areas that make up the wider subject of philately, which is the study of stamps.",yea and its funny that stamp collecting is generally accepted as one of the areas that make up the wider subjet of philately
4,5,1,Asthma,Yeah it's not great. What else can you tell me?,the symptoms of asthma are recurring and reversible .,"It is characterized by variable and recurring symptoms, reversible airflow obstruction, and bronchospasm.","Do you have symptoms like reversible airflow obstruction, and bronchospasm."
5,9,4,Penguin Random House,What else do you know about the merger?,random house owns 25 % and 75 % of penguin group ' s shares .,"Random House and Penguin Group, the parent companies, own 75% and 25%, respectively.","Random House owns 75% of the company, and Penguin group owns 25%."
6,11,3,The Story So Far (band),That's something I didn't know. Neat. Thanks for teaching me more about pop punk.,no problem . pop punk has been around since the 2000 ' s .,"The 2000s saw the creation or emergence of a few styles, such as indie-related genres such as Emo, Alternative R&B, and a multitude of new electronic subgenres, most notably Dubstep, Bass music and Moombahton, as well as genres that fused influences from past decades, mostly the 80s, into creating new styles such as Nu-disco and Hypnagogic pop.","Also,2000s saw the creation or emergence of a few styles, such as indie-related genres"
7,13,3,Tennis,do you have a favorite tennis player?,i like federer the most . he originated in england in the 19th century,"The modern game of tennis originated in Birmingham, England, in the late 19th century as lawn tennis.","No  not me but The modern game of tennis originated in Birmingham, England"
8,13,4,Tennis,oh thats something i didnt know,yeah in most of 19th century the term tennis was called lawn tennis,"During most of the 19th century, in fact, the term ""tennis"" referred to real tennis, not lawn tennis: for example, in Disraeli's novel ""Sybil"" (1845), Lord Eugene De Vere announces that he will ""go down to Hampton Court and play tennis.""","I read that During most of the 19th century, in fact, the term ""tennis"" referred to real tennis, not lawn tennis:"
9,15,4,Snowboarding,"What did he call it? Oh, is it an Olympic event? If I do this, I might want to get competative.","it is an olympic sport ! poppen named it after his wife ' s friend nancy , poppen .","Dubbed the ""snurfer"" (combining snow and surfer) by his wife Nancy, the toy proved so popular among his daughters' friends that Poppen licensed the idea to a manufacturer, Brunswick Corporation, that sold about a million snurfers over the next decade.","He called the first snowboard a ""snurfer"" combining snow and surfer! Cute name, but I'm glad it didn't stick. And yes, snowboarding is very popular in the Winter Olympics!"
10,19,3,Donald Trump,"I had no idea he defeated 16 people in the primaries. I guess that sort of is impressive, and is a testament to how much people wanted him in office. What is something more unique about him that you know?","i know that he owns miss universe , which is a miss usa pageant .",Trump owned the Miss Universe and Miss USA beauty pageants from 1996 to 2015.,I find this an interesting fact. He owned the Miss Universe and Miss USA beauty pagents from 1996 all the way to 2015.
11,21,2,Obsessive–compulsive disorder,That's interesting. Is that genetic?,i ' m not sure . most adults don ' t realize that they have ocd .,Most adults realize that the behaviors do not make sense.,It is believed genes do play a part in developing the disease. Most sufferers realize that the behavior is not natural.
12,28,2,The Beatles,"Such a long time ago, arguably the biggest band of all time, had such a massive impact on the music industry. Who was your favorite member?","i would have to say paul mccartney , he was my favorite drummer .","The core trio of Lennon, McCartney and Harrison went through a succession of drummers, including Pete Best, before asking Starr to join them in 1962.","It has to be Ringo Starr, who didn't join until 1962 after they tried a few other drummers, guess he was that good they knew he was the one."
13,31,1,Top Chef,"And there's usually a required ingredient, which is something insane like beer or lemons or something. Why are these shows so popular?",i think it has to do with the fact that it ' s a show that ' s been around since 2017 .,"Another show, ""Top Chef Junior"", featuring contestants in their early teens, premiered in October 2017 on Universal Kids.","People just like food shows, Top Chef actually got so popular that they made another show called ""Top Chef Junior"", It features ypung contestants in their early teens, It was premiered in October 2017 on Universal Kids."
14,33,3,Skateboarding,"It was on the n64, it was really cool hoe you could sometimes skate through the walls..lol...I like the tricks like the ollie",i remember the first one was called magic flip . it was called a magic flip and was invented in the 60 ' s .,"The first flip trick called a kickflip, originally called a ""magic flip,"" was invented by professional skateboarder Rodney Mullen.","I remember once I learned to do an ollie myself, I tried to move to the kickflip. I don't think I ever mastered the kickflip."
15,38,1,List of Walt Disney Pictures films,Yes! I grew up with those films.  They are so good.,have you ever seen the movie snow queen ? it ' s based on a fairy tale .,"The 53rd Disney animated feature film, the film is inspired by Hans Christian Andersen's fairy tale ""The Snow Queen"".","Have you seen Frozen? It's based on an old HCA fairy tale: ""The Snow Queen."" It's nice to see old stories get updated treatments!"
16,41,3,The New York Times,Awesome. Did the company start off in 1851 as a publishing company? or changed somewhere along the line?,"it started off as a newspaper , but now it ' s publishing company .","Founded in 1851, the paper has won 122 Pulitzer Prizes, more than any other newspaper.","It started off in 1851 as publishing, yes. It has won 122 Pulitzer Prizes too."
17,44,1,Jamaica,No I haven't! I bet it's a relaxing place to visit.,it is ! jamaica lies in the middle of cuba and the caribbean .,"Jamaica lies about south of Cuba, and west of Hispaniola (the island containing the countries of Haiti and the Dominican Republic).","Yeah, Jamaica is a great little place just south of Cuba and west of Hispaniola! Nice beaches!"
18,45,1,Snake,"i know, they are pretty awesome. did you see how they manage to breath while they're eating?","no i didn ' t , but i do know that they have pairs of organs that appear on the right side of the body instead of on the left .","To accommodate their narrow bodies, snakes' paired organs (such as kidneys) appear one in front of the other instead of side by side, and most have only one functional lung.","Wild, their paired organs aren't side-by-side and they only have one lung, because of their narrow body."
19,45,2,Snake,"i did not know that. only one lung, that is crazy. Did you know that despite how awesome they are, they can't manage to eat a full grown adult","i didn ' t know that , but i did know that some snakes have a girdle on the side of their cloaca that allows them to eat adults .",Some species retain a pelvic girdle with a pair of vestigial claws on either side of the cloaca.,"You hear they can, but I doubted it, but some species have a pelvic girdle and vestigial claws on either side of the cloaca."
20,48,2,The Beatles,Unfortunately the broke up.  Their final studio album was titled Let it Be.,"oh , i didn ' t know that . i know paul mccartney left the group in september of 1969 .","Although in September 1969 John Lennon privately informed the other Beatles that he was leaving the group, there was no public acknowledgement of the break-up until Paul McCartney announced on 10 April 1970 he was leaving the Beatles.","It's true! In 1969, Lennon privately told the other members that he was leaving the group"
21,49,0,Bible,"Hi, I know far too little, but have always been interesting in Bible study.",the bible is one of the most sacred texts in the bible .,"The Bible (from Koine Greek τὰ βιβλία, ""tà biblía"", ""the books"") is a collection of sacred texts or scriptures that Jews and Christians consider to be a product of divine inspiration and a record of the relationship between God and humans.","To start off, the Bible is pretty much just a record of the relationship between humans and God."
22,51,3,Sephora,Yeah i think it is the best in the world!,i think so too . in 1997 they were sold to a company called sephornaud .,"In July 1997, Mandonnaud and his partners sold Sephora to LVMH, who expanded the stores globally and bolstered the chain's product offerings to include beauty and cosmetic products.","In July 1997, Mandonnaud and his partners sold Sephora to LVMH which is a chinese company that now use cheaper products in the store brand so be careful."
23,80,2,India,Wow and whats the population density like. I heard that its quite over populated?,"i am not sure , but i know that it has the largest population in the whole world","It is the seventh-largest country by area, the second-most populous country (with over 1.2 billion people), and the most populous democracy in the world.","Yes over 1.2 billion people live there! Sadly, I think that has resulted in many problems for the country"
24,95,3,Finance,I wonder how many different conditions that market can be in.,i ' m not sure but i do know that finance aims for the risk level .,Finance aims to price assets based on their risk level and their expected rate of return.,The goal of finance aims to price assets based on their risk level
25,97,2,Yellow,That is cool. I also love coldplay's hit song called Yellow,the song was written by ken nelson in 2000 .,"The band wrote the song and co-produced it with British record producer Ken Nelson for their debut album, ""Parachutes"" (2000).","That is a great song, it is off their debut album actually, called parachutes."
26,101,2,Hamburger,I wonder if they are made the same there.,"i ' m not sure , but the term bison burger is popular in india .","The term may be prefixed with the type of meat or meat substitute used, as in ""turkey burger"", ""bison burger"", or ""veggie burger"".","I don't know. The term burger can also be applied to turkey burgers, or even veggie burgers."
27,103,1,Miami,"Yeah, I didn't know that there was a port there, although given the location it's hardly surprising.",miami is the most populated city in the state of miami,"As the seat of Miami-Dade County, the municipality is the principal, central, and the most populous city of the Miami metropolitan area and part of the second-most populous metropolis in the southeastern United States.",It is the head quarters of  Miami-Dade County and record has it that it has the second largest population in the USA so you sure will meet all kinds of people there .
28,103,4,Miami,Was that the cleanest city in the U.S. or globally? I have to imagine that some European cities would rank higher on a global index.,i am not sure but i do know that it was ranked number 7 in the us in 2008,"In 2008, ""Forbes"" magazine ranked Miami ""America's Cleanest City"", for its year-round good air quality, vast green spaces, clean drinking water, clean streets, and citywide recycling programs.","Yes, it's just the USA and it was ranked for for its year-round good air quality, vast green spaces"
29,108,2,Butcher,He works at a plant close to his home,interesting . butchers have been around for a long time . they have been domesticated .,"An ancient trade, whose duties may date back to the domestication of livestock, butchers formed guilds in England as far back as 1272.",That's convenient. It would be cool to work in such an ancient trade
30,112,3,New York City,"I agree, people travel to New York to make a living in a wide variety of fields.",i visited manhattan which is the largest borough of manhattan .,"Manhattan () is the most densely populated borough of New York City, its economic and administrative center, and its historical birthplace.","I like Manhattan the most, its the most densely populated area of New York has has a lot of tourist attractions. e.g Time Square"
31,113,1,Stamp collecting,"funny name Philately, I sort of collected when i was a kid",the word philately is actually a french word coined by george herpin .,"The word ""philately"" is the English version of the French word ""philatélie"", coined by Georges Herpin in 1864.","It is strange! The word is the Engilsh version of the french word ""philatélie""."
32,127,3,Tokyo,Oh okay got it! What did you do while you visited?,i went to honshu which is the home island of honshu .,"The four largest are Honshu, Hokkaido, Kyushu and Shikoku, which make up about ninety-seven percent of Japan's land area and often are referred to as home islands.","I visited the 4 largest islands: Honshu, Hokkaido, Kyushu, and Shikoko."
33,128,1,Pittsburgh,I have not been there since I was 2 years old. I don't remember anything about it.,"that ' s too bad , it ' s a huge city with a population of over 305 million .","As of 2017, a total population of 305,704 lives within the city limits, making it the 63rd-largest city in the U.S.",Well one thing is that it is currently the 63rd largest city in the US!
34,133,1,Ed Sheeran,"Yes, I enjoy listening to his music. I had no idea he was from England.","yes , he was born in 1991 . the song was released in november 2014 .","In the UK, the song spent 19 weeks within the top 40 before it peaked at number 1 in early November 2014; it became Sheeran's second number 1 single there.","Oh yeah, his songs like thinking out loud are actually released in the UK before here."
35,133,4,Ed Sheeran,That's interesting. It always amazes me to learn about how certain artists progress through life.,me too . he won an album of his own in 2015 .,"In 2015, ""x"" won the Brit Award for Album of the Year, and he received the Ivor Novello Award for Songwriter of the Year from the British Academy of Songwriters, Composers and Authors.",He has done really well considering he won the 2015 brit album of the year.
36,143,3,Role-playing game,What are some examples?,in both forms the arranger is the game master and the other player is the referee,"In both of these forms, an arranger called a game master (GM) usually decides on the rules and setting to be used, acting as referee, while each of the other players plays the role of a single character.",Both forms have a game master and a referee
37,155,3,Fairy tale,What are the Canterbury tales? They sound familiar!,they are stories that are about dragons and fairy tales .,"The Canterbury Tales () is a collection of 24 stories that runs to over 17,000 lines written in Middle English by Geoffrey Chaucer between 1387 and 1400.",They are a collection of 24 stories.
38,160,1,The Hershey Company,That would be amazing!,milton milton was one of my favorite confectionists .,"Milton Snavely Hershey (September 13, 1857 – October 13, 1945) was an American confectioner and philanthropist.",Milton Hershey is my hero. What an amazing confectioner.
39,177,4,Chevrolet Corvette,i like the corvettes made in the mid 60s but too much buty,"yeah , the 1954 models could be order in any color .","The 1954 model year vehicles could be ordered in Pennant Blue, Sportsman Red, Black, or Polo White; 3,640 were built, and sold slowly.",The year after that they were also available in red and black. They were sold slowly. I'm guessing because they were probably so expensive.
40,178,3,Cake decorating,Wow that is interesting!  Do you enjoy Middle age history?,i do ! i think it ' s fascinating how the early and middle ages were divided into different parts of the world .,"The medieval period is itself subdivided into the Early, High, and Late Middle Ages.","I do, it's fascinating. There's 3 distinct periods of it, early, high and the late middle ages. What about you?"
41,185,2,Philip Larkin,Are you a big fan of poetry?,"i ' m not a huge fan , but i do know that his first novel of poetry was called jill .","His first book of poetry, ""The North Ship"", was published in 1945, followed by two novels, ""Jill"" (1946) and ""A Girl in Winter"" (1947), and he came to prominence in 1955 with the publication of his second collection of poems, ""The Less Deceived"", followed by ""The Whitsun Weddings"" (1964) and ""High Windows"" (1974).","Well, I love Philip Larkin's poetry.  His first poetry book was published in 1945."
42,188,2,New York City,"Yes, more tham 3.000 restaurants tell you abput how many cultures live there, also i love the song, NEW YORK by Fran Sinatra!",fran sinatra is a great singer . she was born in new jersey .,"Born in Hoboken, New Jersey, to Italian immigrants, Sinatra began his musical career in the swing era with bandleaders Harry James and Tommy Dorsey.",Yes!  Frank was born in New Jersey to Italian imigrant parents but he did love New York
43,189,2,Grey's Anatomy,OK. I used to watch ER back when George Clooney was on it. I'm not that into medical shows though.,i didn ' t realize it was filmed in seattle .,"Although the series is set in Seattle (at the fictional Seattle Grace, later known as the Grey-Sloan Memorial Hospital), it is filmed primarily in Los Angeles, California.","It was set in Seattle and filed in LA, California."
44,191,1,Alcohol,"ok it means, it's all chemicals we are drinking right? wow, so unhealthy!",yes it is unhealthy . it was actually discovered by a physician named alchemist .,"Rhazes (854 CE – 925 CE), was a Persian polymath, physician, alchemist, and philosopher who discovered numerous compounds and chemicals including ""alcohol"" by developing several chemical instruments and methods of distillation.","Oh yeah chemicals are so bad haha. Thankfully Rhazes distilled alcohol for the first time way back between 854 and 925 CE, otherwise we'd be dry haha!"
45,201,2,Desert,what are some of the popular cold desert destinations?,"i ' m not sure , but i do know that india is adjacent to india ' s mountains !",It includes:  The cold deserts of India are located adjacent to the Himalaya Mountains.,There are cold deserts in India adjacent to the Himalaya Mountains! It's supposed to be beautiful!
46,204,1,Baseball,"Absolutely, It's really popular in America.",it is . baseball is played between 9 teams .,Baseball is a bat-and-ball game played between two teams of nine players each who take turns batting and fielding.,It has two team with nine players each.
47,208,0,Jimmy Fallon,,jimmy fallon is one of my favorite comedians .,"He is known for his work in television as a cast member on ""Saturday Night Live"" and as the host of late-night talk show ""The Tonight Show Starring Jimmy Fallon"" and before that ""Late Night with Jimmy Fallon"".",I love to watch Saturday Night Live and think Jimmy Fallon is hilarious.
48,220,4,Vancouver Grizzlies,Thats a pity. Did they do ok while they did play?,"no , they lost 101 games and never made the playoffs .","In total, the team won 101 games, lost 359, and never qualified for the NBA playoffs.","They won 101 games, but lost 359. So they didn't qualify for the NBA playoffs."
49,224,3,Association football,Ohh I thought it was an every year thing. So it happens every 4 years?,"yes , it has been given to every country since 1930 .","The championship has been awarded every four years since the inaugural tournament in 1930, except in 1942 and 1946 when it was not held because of the Second World War.","Indeed, it has happen every four years since its inception in 1930 save 1942 and 1946 for WWII."
50,226,2,The Flintstones,Did you know that Fred works at a rock quarry?  What a fun place that must be.,i didn ' t know that ! it was first broadcast in 1966,"It was originally broadcast from September 30, 1960, to April 1, 1966, in a prime time schedule, the first such instance for an animated series.","Yeah it is neat!  It was originally broadcast from September 30, 1960."
51,228,3,Katy Perry,That would make sense. Isn't Kate Huson an actress or model?,"yes , she is . her first album was released in 2008 .","Perry rose to fame in 2008 with the release of her second album, a pop rock record titled ""One of the Boys"", and its singles ""I Kissed a Girl"" and ""Hot n Cold"".","Yeah, that's probably one of the reasons she changed it. She became famous in 2008 when her 2nd album was released containing ""Hot n Cold"" and ""I Kissed a Girl""."
52,233,3,Xbox,"Yes, But you have to pay for xbox live just to be able to watch Netflix on your system. Playstation doesn't charge for that.","well xbox live has been around since 2006 , so it must be pretty popular now .",It reached over 24 million units sold as of May 2006.,"Thats wild and to think that thing sold over 24 million units sold, People really got it for the games though and didnt care at that time about netflix ect. But yeah I agree paying to watch netlfix is so dumb."
53,234,4,New York City,That's awesome! What are some popular attractions and landmarks in New York?,"i ' m not sure , but i do know that wall street , which is eight blocks long , is a popular tourist attraction !","Wall Street is an eight-block-long street running roughly northwest to southeast from Broadway to South Street, at the East River, in the Financial District of Lower Manhattan in New York City.","For sure the World Trade Center and Empire State buildings. But many tourists also like to visit Wall Street. It's an eight-block-long street.  I never realized it was that long, did you?"
54,240,3,Boxer (dog),Where does the boxer originate from?,they were bred from old english bulldogs and now they are extinct .,The Boxer was bred from the Old English Bulldog and the now extinct Bullenbeisser which became extinct by crossbreeding rather than by a decadence of the breed.,They were a mix between the old english bulldog and the now extinct bullenbeisser.
55,254,4,Denmark,That doesn't sound that big. Are they into producing anything special?,"i am not sure about that , but the united kingdom emerged in 10th century",The unified kingdom of Denmark emerged in the 10th century as a proficient seafaring nation in the struggle for control of the Baltic Sea.,"nothing i know of but, The unified kingdom of Denmark emerged in the 10th century as a proficient seafaring nation"
56,267,0,Seattle,seattle is my favorite city in the world!,"i ' ve never been to seattle , but i know it ' s on the east coast .",Seattle () is a seaport city on the west coast of the United States.,me too!!! it's such a beutiful seaport city
57,272,1,Yellow,Oh interesting! What else can you tell me?,the dominant wavelength is 5 . 7 million nm .,It is evoked by light with a dominant wavelength of roughly 570590 nm.,yes has a wavelength of roughly 570590 nm.
58,283,3,Nirvana (band),"Yeah I loved that song too! I am having a hard time remembering the drummers name, can you recall?","i don ' t know the name of the drummer , but i do know that they had the longest lasting drummer of all time .","Nirvana went through a succession of drummers, the longest-lasting being Dave Grohl, who joined in 1990.","They actually went through a succession of drummers but you are probably thinking of the one they ended up with, Dave Grohl."
59,287,1,French cuisine,ohh.... i am also,"french cuisine has been around for a long time , in fact , in the 15th century , a chef from france wrote a book about it .","In the 14th century Guillaume Tirel, a court chef known as ""Taillevent"", wrote ""Le Viandier"", one of the earliest recipe collections of medieval France.",in the 14th century we find some of the first recipes
60,287,3,French cuisine,yeah i know that....,in that time italian cuisine was influenced by french cuisine,"During that time, French cuisine was heavily influenced by Italian cuisine.",french cuisine is heavily influenced by italian cuisne
61,660,2,Surfing,"Makes sense, doesn't Hawaii's North Shore have a lot waves in December ?","i ' m not sure about hawaii , but i know that surfing began in ancient greece .",The history of surfing began with the ancient Polynesians.,"I guess so, the history of surfing DID begin with the ancient Polynesians"
62,291,3,Classical music,So what differentiate  classical music from other  genres?,european music is generally distinguished from european classical music .,"The major time divisions of Western art music are as follows:  European art music is largely distinguished from many other non-European classical and some popular musical forms by its system of staff notation, in use since about the 11th century.",It is mostly different though using different staff notation.
63,292,3,Cat,I think its cool that they have such independent personalities,they really do . they also have a poorer sense of smells than humans,"Like most other mammals, cats have poorer color vision and a better sense of smell than humans.","Yes, that is one of the fun things about them. The do have poor color vision though, but also have a better sense of smell than people do"
64,293,3,Guitar,"I know that part, but I do not know how to play music.","there are actually three types of acoustic guitars : classical , nylon , and steel .","There are three main types of modern acoustic guitar: the classical guitar (nylon-string guitar), the steel-string acoustic guitar, and the archtop guitar, which is sometimes called a ""jazz guitar"".","Which style do you like best? there are 3 types of modern acoustic guitar. The classical guitar, the steel string guitar or the jazz guitar?"
65,305,2,Coors Brewing Company,Do you think it was because of it's taste or because of its good business practices?,i think the taste was the main reason . coors itself was turned into a beer production plant .,The brewery itself was converted into a malted milk and near beer production facility.,"Interestingly enough, they converted to a malted milk and near beer production facility. They sold malted milk to Mars candy."
66,318,0,Boy Scouts,My son joined Boy Scouts and I have volunteered to help the troop.  I am new to Boy Scouts.,boy scouts is the largest youth organization in the us .,"The Boy Scouts of America (BSA), one of the largest private youth organizations in the United States, has policies which prohibit those who are not willing to subscribe to the BSA's Declaration of Religious Principle and, until January 2014, prohibited all ""known or avowed homosexuals"", from membership in its Scouting program.",That's pretty cool! Boy Scouts is one of the largest private youth organizations in the US
67,321,1,Gone with the Wind (film),I've actually never seen it! Anything you could tell me to convince me to watch it?,"well , it ' s about scarlett o hara , a strong willed daughter and a plantation owner","Set in the American South against the backdrop of the American Civil War and the Reconstruction era, the film tells the story of Scarlett O'Hara, the strong-willed daughter of a Georgia plantation owner, from her romantic pursuit of Ashley Wilkes, who is married to his cousin, Melanie Hamilton, to her marriage to Rhett Butler.","Sure, it is a well known movie that is set in the Civil War and Reconstruction Era.  It is about a character named Scarlett O'Hara"
68,323,2,Star Trek,I remember when it debuted and it was different from anything on television at that time,i remember watching it when it first came out in the 20 ' s,"It followed the interstellar adventures of Captain James T. Kirk (William Shatner) and his crew aboard the starship USS ""Enterprise"", a space exploration vessel, built by the United Federation of Planets in the twenty-third century.",i wasn't even born :) I love all the interstellar adventures of Captain James Kirk
69,329,3,IPhone,Sounds like it. Is iPhone a huge part of the cell phone market?,"i ' m not sure , but i do know that it ' s been around since the 3gs !","An iPhone can shoot video (though this was not a standard feature until the iPhone 3GS), take photos, play music, send and receive email, browse the web, send and receive text messages, follow GPS navigation, record notes, perform mathematical calculations, and receive visual voicemail.","I meant HE was the American entrepreneur, not me!  the iPhone does sell well, and has GPS navigation  and can record notes!"
70,332,1,The Beatles,"They are so famous but I am blanking on any of the song titles, lol.","i know , right ? it ' s hard to remember most of their songs . they were actually a producer and producer of george martin ' s recordings .","Manager Brian Epstein moulded them into a professional act, and producer George Martin guided and developed their recordings, greatly expanding the group's popularity in the United Kingdom after their first hit, ""Love Me Do"", in late 1962.","Well we can start with their first hit released in 1962, Love Me Do."
71,338,1,Coca-Cola,"It's my favorite too, though I prefer Diet Pepsi over Diet Coke.",i like diet coke better too . i think it was first made in 1893 .,"The drink Pepsi was first introduced as ""Brad's Drink"" in New Bern, North Carolina, United States, in 1893 by Caleb Bradham, who made it at his drugstore where the drink was sold.","That's known as ""Brad's Drink"", well first introduced. Pepsi has a cool story that is"
72,342,1,Tool (band),They've won three Grammy Awards and have had several world wide tours.,they are one of the most popular bands of all time . their first album was called undertow .,"The band emerged with a heavy metal sound on their first studio album, ""Undertow"" (1993), and later became a dominant act in the alternative metal movement, with the release of their second album, ""Ænima"" in 1996.","Wow, you really are a fan of Tool! I think my favorite album by them is ""Undertow"" which really made them a dominant act in the alternative metal movement act."
